1,Nanea,0,0,N/A
2,Kapalua (Plantation),9,1,7.3
3,Princeville (Prince),0,0,N/A
4,Mauna Kea,9,6,7.3
5,Manele,0,0,N/A
6,Kuki'o,2,0,N/A
7,Hokuli'a,3,1,N/A
8,Kohanaiki,0,0,N/A
9,Kukui'ula,6,5,7.9
10,Poipu Bay,19,9,8.3
11,Hualalai (Ke’olu),5,4,N/A
12,Wailea (Gold),96,24,8.3
13,Waialae,38,11,8.3
14,Hualalai (Hualâlai),5,4,N/A
15,Turtle Bay (Palmer),19,8,7.3
16,Princeville (Makai),12,14,7.2
17,Makena,1,1,N/A
18,Wailea (Emerald),38,11,8.3
19,Hoakalei,5,3,7.4
20,Mauna Lani (North),2,0,N/A
21,King Kamehameha,14,4,7.9
22,Hokuala (Ocean),1,1,N/A
23,Waikoloa Beach (King's),24,5,7.9
24,Mauna Lani (South),13,2,8.6
25,Kapalua (Bay),0,0,N/A
26,Ko'olau,7,12,7.9
27,Puakea,8,3,7.4
28,Kapolei,24,6,8.9
29,Ko Olina,13,4,7.7
30,Ka‘anapali,20,8,8.5
