Golf Course,Likes,Tips,Rating
Big Island Country Club,4,2,N/A
Four Seasons Resort Hualalai at Historic Ka`upulehu,114,37,9.3
Hapuna Golf Course,7,1,8
Hualalai Golf Course,5,4,N/A
Kona Country Club,1,3,N/A
Kona Country Club: The Ocean Course,1,0,N/A
Kuki'o Golf Club,2,0,N/A
Makalei Golf Club,5,5,6.1
Mauna Kea Golf Course,9,6,7.3
Mauna Lani North course,2,0,N/A
Mauna Lani South Course,13,2,8.6
Nanea,0,0,N/A
Sea Mountain Golf,0,1,N/A
Seaside,0,0,N/A
The Club At Hokulia,3,1,N/A
Waikoloa King's & Beach Golf Course,24,5,7.9
Grand Hyatt Kauai Resort And Spa,176,89,8.8
Hōkūala Golf Course,1,1,N/A
Kauai Lagoons Golf Club,8,5,7.4
Kiahuna Golf Club,6,4,7.1
Kukuiolono Park And Golf Course,15,4,8.8
Poipu Bay Golf Course,19,9,8.3
Princeville Makai Golf Club,12,14,7.2
Puakea Golf Course,8,3,7.4
The Club At Kukui'ula,6,5,7.9
Wailua Golf Course,9,4,8.3
The Challenge at Manele Golf Course,2,2,N/A
The Experience At Koele,0,1,N/A
The Spa at Four Seasons Resort Lanai The Lodge at Koele,0,3,8.1
Beyond the Rainbow,0,0,N/A
Ellair Maui Golf Club,1,3,N/A
Emerald Course At Wailea Golf Club,4,0,N/A
Gold Course At Wailea Golf Club,1,0,N/A
Ka'anapali Golf Course,20,8,8.5
Kahili Golf Course,9,3,7.2
Kapalua,36,21,8.8
King Kamehameha Golf Club,14,4,7.9
Makena Golf Club,1,1,N/A
Maui Country Club,7,3,7.6
Maui Nui Golf Club,6,0,N/A
Plantation Course at Kapalua,9,1,7.3
Pukalani Country Club,7,3,8.1
Royal Kannapali Golf Course,1,0,N/A
The Bay Course,7,2,N/A
The Dunes at Maui Lani,17,2,6.7
Wailea Golf Club,38,11,8.3
Ironwood Hills Golf course,0,0,N/A
Ala Wai Golf Course,9,7,7.5
Aloha Golf Center,1,3,N/A
,,,
Barbers Point Golf Course,3,1,N/A
Bay View Golf Park,7,3,6.9
Coral Creek,11,5,7.8
Ewa Beach Golf Club,8,6,6.5
Hawaii Country Club,5,3,6.9
Hawaii Kai Golf Course,3,4,N/A
Hawaii Prince Golf Club,11,3,7.8
Hoakalei Country Club,5,3,7.4
Honolulu Country Club,23,4,8.2
Kahuku golf course,2,3,N/A
Kaneohe Klipper Golf Course,12,4,7.6
Kapolei Golf Course,24,6,8.9
Ko Olina Golf Club,13,4,7.7
Ko'olau Golf Club,7,12,7.9
Leilehua Golf Course,14,4,7.9
Makaha Valley Country Club,2,0,N/A
Mamala Bay Golf Club,6,6,6.4
Mid Pacific Country Club,12,1,7.5
Mililani Golf Club,10,3,8.5
Moanalua Golf Club,1,2,N/A
Oahu Country Club,16,2,7.8
Olomana Golf Links,7,3,7.1
Pali Golf Course,2,2,N/A
Pearl Country Club,20,4,9
Royal Hawaiian Golf Club,8,7,7.3
Royal Kunia Country Club,16,6,7.9
Ted Makalena Golf Course,3,1,N/A
,,,
The Arnold Palmer Course,8,0,7
Arnold Palmer Course at Turtle Bay Golf,6,4,7
,,,
Turtle Bay Golf Course,5,4,7.5
Waialae Country Club,44,12,8.6
Waikele Country Club,26,6,7.9
West Loch Golf Course,2,0,N/A
